doctor_id,doctor_name,territory_id,speciality,active
D000078,Dr Nikita Narayanan,T005,Dermatology,True
D000079,Dr Ojasvi Bhatia,T006,Orthopedics,True
D000080,Dr Osha Ramachandran,T018,Gastroenterology,True
D000081,Dr Lajita Sood,T018,Cardiology,True
D000082,Dr Indira Misra,T004,General Medicine,True
D000083,Dr Oni Yohannan,T005,Cardiology,True
D000084,Dr Vinaya Kanda,T012,Diabetology,True
D000085,Dr Rajata Sunder,T014,Diabetology,True
D000086,Dr Lopa Nayar,T002,Dermatology,True
D000087,Dr Noah Sibal,T012,Cardiology,True
D000088,Dr Avi Ramesh,T012,Neurology,True
D000089,Dr Fiyaz Sangha,T008,General Medicine,True
D000090,Dr Triya Gopal,T012,Gastroenterology,True
D000091,Dr Abha Raghavan,T020,Diabetology,True
D000092,Dr Siddharth Sha,T008,Diabetology,True
D000093,Dr Geetika Raghavan,T006,Gastroenterology,True
D000094,Dr Oviya Krishnan,T001,Diabetology,True
D000095,Dr Upma Bahl,T011,Gastroenterology,True
D000096,Dr Inaya Kapur,T008,Dermatology,True
D000097,Dr Banjeet Balasubramanian,T006,General Medicine,True
D000098,Dr Ryan Bahri,T013,Cardiology,True
D000099,Dr William Date,T016,Neurology,True
D000100,Dr Ishwar Kamdar,T007,Orthopedics,True
D000101,Dr Aahana Pillay,T012,Dermatology,True
D000102,Dr Ishwar Gade,T008,Neurology,True
D000103,Dr Hritik Bal,T001,Neurology,True
D000104,Dr Keya Ranganathan,T013,Pulmonology,True
D000105,Dr Faqid Kibe,T009,General Medicine,True
D000106,Dr Charvi Dara,T009,Pulmonology,True
D000107,Dr Idika Walia,T017,Gastroenterology,True
D000108,Dr Kamala Biswas,T018,Pulmonology,True
D000109,Dr Advik Salvi,T001,General Medicine,True
D000110,Dr Hitesh Sant,T009,Diabetology,True
D000111,Dr Tripti Dua,T019,Dermatology,True
D000112,Dr Patrick Vig,T002,General Medicine,True
D000113,Dr Veda Shroff,T020,Gastroenterology,True
D000114,Dr Amrita Naidu,T012,Pulmonology,True
D000115,Dr Gabriel Mallick,T014,General Medicine,True
D000116,Dr Yagnesh Shetty,T013,Neurology,True
D000117,Dr Gayathri Balakrishnan,T009,Cardiology,True
D000118,Dr Ekta Gopal,T014,Cardiology,True
D000119,Dr Simon Pant,T017,Neurology,True
D000120,Dr Harini Mammen,T012,Gastroenterology,True
D000121,Dr Advaith Varughese,T003,Pulmonology,True
D000122,Dr Frederick Khurana,T020,Pulmonology,True
D000123,Dr Vrinda Khosla,T004,Dermatology,True
D000124,Dr Vritti Sem,T017,Dermatology,True
D000125,Dr Girik Menon,T014,Pulmonology,True
D000126,Dr Nidhi Kohli,T013,Dermatology,True
D000127,Dr Jyoti Solanki,T018,Diabetology,True
D000128,Dr Pavani Narayanan,T007,Gastroenterology,True
D000129,Dr Sudiksha Madan,T013,Diabetology,True
D000130,Dr Zayan Kashyap,T020,Dermatology,True
D000131,Dr Reyansh Mutti,T013,Cardiology,True
D000132,Dr Qasim Handa,T010,Dermatology,True
D000133,Dr Veda Malhotra,T007,Gastroenterology,True
D000134,Dr Harish Hari,T019,Pulmonology,True
D000135,Dr Utkarsh Patel,T015,Orthopedics,True
D000136,Dr Chasmum Atwal,T015,Neurology,True
D000137,Dr Anusha Bath,T017,Orthopedics,True
D000138,Dr Brinda Date,T006,General Medicine,True
D000139,Dr Harshil Arora,T010,Pulmonology,True
D000140,Dr Upasna Srinivas,T003,Neurology,True
D000141,Dr Harini Gour,T010,Neurology,True
D000142,Dr Zayyan Sridhar,T007,Diabetology,True
D000143,Dr Dhruv Rattan,T001,Cardiology,True
D000144,Dr Ethan Bera,T008,Orthopedics,True
D000145,Dr Manthan Modi,T020,General Medicine,True
D000146,Dr Yuvraj Dani,T015,Gastroenterology,True
D000147,Dr Upkaar Virk,T019,Neurology,True
D000148,Dr Shravya Savant,T013,Orthopedics,True
D000149,Dr Pushti Mody,T013,Neurology,True
D000150,Dr Hardik Johal,T005,Cardiology,True
D000151,Dr Aishani Bumb,T004,Gastroenterology,True
D000152,Dr Wriddhish Ghose,T008,Diabetology,True
D000153,Dr Naksh Agate,T017,Orthopedics,True
D000154,Dr Shravya Singhal,T002,Neurology,True
D000155,Dr Bachittar Kata,T004,Orthopedics,True
D000156,Dr Barkha Setty,T005,Orthopedics,True
D000157,Dr Vivaan Lalla,T017,Pulmonology,True
D000158,Dr Pavani Contractor,T015,Gastroenterology,True
D000159,Dr Manthan Lata,T018,Orthopedics,True
D000160,Dr Ekbal Bhasin,T006,Orthopedics,True
D000161,Dr Damyanti Mani,T015,Dermatology,True
D000162,Dr Jeet Sidhu,T008,Dermatology,True
D000163,Dr Neha Magar,T017,Orthopedics,True
D000164,Dr Raksha Buch,T008,Dermatology,True
D000165,Dr Rachana Naidu,T015,General Medicine,True
D000166,Dr Atharv Chand,T010,Neurology,True
D000167,Dr Ansh Luthra,T009,Pulmonology,True
D000168,Dr Parth Singhal,T011,General Medicine,True
D000169,Dr Arunima Golla,T005,Diabetology,True
D000170,Dr Vyanjana Chand,T008,Gastroenterology,True
D000171,Dr Ijaya Rege,T005,Neurology,True
D000172,Dr Ekani Cheema,T003,Gastroenterology,True
D000173,Dr Forum Sabharwal,T014,Pulmonology,True
D000174,Dr Bhavya Rattan,T018,Orthopedics,True
D000175,Dr Suhani Chakrabarti,T014,Cardiology,True
D000176,Dr Zayyan Naik,T007,Gastroenterology,True
D000177,Dr Netra Varkey,T013,Cardiology,True
D000178,Dr Turvi Sachdev,T019,Gastroenterology,True
D000179,Dr Raghav Vasa,T016,Cardiology,True
D000180,Dr Wishi Sathe,T012,Dermatology,True
D000181,Dr Samar Loke,T013,Gastroenterology,True
D000182,Dr Bhavna Sarma,T018,Neurology,True
D000183,Dr Jairaj Balakrishnan,T016,Neurology,True
D000184,Dr Nathan Mukhopadhyay,T009,Gastroenterology,True
D000185,Dr Nikita Chander,T016,Cardiology,True
D000186,Dr Ishaan Shenoy,T013,Pulmonology,True
D000187,Dr Mitesh Tara,T013,Diabetology,True
D000188,Dr Yashodhara Mahajan,T015,Diabetology,True
D000189,Dr Vasudha Sodhi,T020,Cardiology,True
D000190,Dr Tanmayi Dhillon,T013,Cardiology,True
D000191,Dr Rayaan Trivedi,T003,Gastroenterology,True
D000192,Dr Ekaraj Majumdar,T005,Orthopedics,True
D000193,Dr Harini Tripathi,T006,Cardiology,True
D000194,Dr Aarnav Mandal,T009,Gastroenterology,True
D000195,Dr Vrishti Dixit,T011,Neurology,True
D000196,Dr Veda Pai,T015,Pulmonology,True
D000197,Dr Krishna Shah,T011,Gastroenterology,True
D000198,Dr Ranbir Khare,T009,Gastroenterology,True
D000199,Dr Vivaan Roy,T009,General Medicine,True
D000200,Dr Eesha Solanki,T016,Cardiology,True
D000201,Dr Libni Doshi,T018,Cardiology,True
D000202,Dr Balhaar Date,T012,Neurology,True
D000203,Dr Harish Sarraf,T003,Cardiology,True
D000204,Dr Tanmayi Aurora,T001,Neurology,True
D000205,Dr Nimrat Dubey,T007,Cardiology,True
D000206,Dr Upasna Lanka,T020,Diabetology,True
D000207,Dr Mitali Buch,T008,Diabetology,True
D000208,Dr Lajita Nadig,T016,General Medicine,True
D000209,Dr Balendra Biswas,T019,Neurology,True
D000210,Dr Bhavna Karan,T015,Dermatology,True
D000211,Dr Radha Chaudhari,T012,Diabetology,True
D000212,Dr Sachi Ganesan,T020,General Medicine,True
D000213,Dr Ayush Batra,T006,Dermatology,True
D000214,Dr Daksh Memon,T004,Cardiology,True
D000215,Dr Kavya Sankar,T010,Gastroenterology,True
D000216,Dr Yash Wali,T013,Neurology,True
D000217,Dr Pranit Garde,T003,Neurology,True
D000218,Dr Farhan Raja,T004,Dermatology,True
D000219,Dr Widisha Dhar,T020,General Medicine,True
D000220,Dr Triya Kumar,T019,Cardiology,True
D000221,Dr Aadhya Andra,T012,Gastroenterology,True
D000222,Dr Bhavna Dugar,T012,General Medicine,True
D000223,Dr Riya Pai,T017,Pulmonology,True
D000224,Dr Panini Krishna,T001,Gastroenterology,True
D000225,Dr Chasmum Issac,T016,General Medicine,True
D000226,Dr Vasudha Chhabra,T014,Pulmonology,True
D000227,Dr Lakshmi Parmer,T015,Diabetology,True
D000228,Dr Chakrika Bains,T014,Diabetology,True
D000229,Dr Anvi Anand,T017,Dermatology,True
D000230,Dr Watika Mangat,T020,Orthopedics,True
D000231,Dr Indira Kanda,T015,Gastroenterology,True
D000232,Dr Zashil Devan,T019,Dermatology,True
D000233,Dr Balveer More,T011,Neurology,True
D000234,Dr Bahadurjit Patla,T003,Dermatology,True
D000235,Dr Gautam Merchant,T015,Neurology,True
D000236,Dr Ojasvi Gill,T015,Gastroenterology,True
D000237,Dr Kevin Zacharia,T011,Cardiology,True
D000238,Dr Yachana Mahajan,T016,Pulmonology,True
D000239,Dr Aarini Subramaniam,T006,Orthopedics,True
D000240,Dr Hamsini Contractor,T007,Pulmonology,True
D000241,Dr Faqid Dhaliwal,T009,Pulmonology,True
D000242,Dr Mekhala Pau,T009,Dermatology,True
D000243,Dr Megha Atwal,T018,Cardiology,True
D000244,Dr Jatin Sha,T017,Neurology,True
D000245,Dr Adweta Raj,T003,Neurology,True
D000246,Dr Hritik Kaur,T014,Orthopedics,True
D000247,Dr Aryan Narang,T018,Neurology,True
D000248,Dr Dev Shetty,T016,Orthopedics,True
D000249,Dr Nilima Dada,T015,Cardiology,True
D000250,Dr Chakradev Barad,T003,Dermatology,True
